Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-02-20,12627.61,12695.55,12624.06,12673.66,3835450000,0,0
2019-02-21,12644.05,12648.29,12580.03,12621.77,3559710000,0,0
2019-02-22,12654.39,12700.06,12644.15,12694.52,3427810000,0,0
2019-02-25,12746.41,12769.64,12697.29,12700.19,3804380000,0,0
2019-02-26,12685.32,12729.25,12674.35,12686.56,3645680000,0,0
2019-02-27,12680.92,12706.13,12637.85,12689.87,3767130000,0,0
2019-02-28,12671.23,12679.19,12642.43,12644.81,4396930000,0,0
2019-03-01,12698.23,12740.4,12645.57,12700.67,3972280000,0,0
2019-03-04,12728.96,12737.5,12537.8,12637.27,3919810000,0,0
2019-03-05,12638.19,12649.77,12600.89,12624.47,3585690000,0,0
2019-03-06,12622.49,12623.78,12529.23,12538.0,3786600000,0,0
2019-03-07,12513.52,12514.2,12408.38,12443.43,3904860000,0,0
2019-03-08,12364.69,12418.29,12336.49,12415.13,3423130000,0,0
2019-03-11,12429.89,12563.98,12429.89,12561.26,3749030000,0,0
2019-03-12,12576.76,12611.47,12571.04,12582.81,3414230000,0,0
2019-03-13,12621.69,12704.85,12621.69,12674.26,3766150000,0,0
2019-03-14,12668.78,12685.39,12637.44,12660.16,3469730000,0,0
2019-03-15,12679.08,12749.57,12677.76,12715.77,5962730000,0,0
2019-03-18,12732.27,12786.79,12726.47,12781.41,3552190000,0,0
2019-03-19,12826.12,12854.82,12728.97,12760.79,3620220000,0,0
2019-03-20,12749.61,12789.38,12658.26,12700.25,3771200000,0,0
2019-03-21,12658.97,12803.45,12657.63,12782.54,3546800000,0,0
2019-03-22,12709.27,12716.87,12533.29,12539.41,4237200000,0,0
2019-03-25,12526.49,12590.17,12486.06,12535.68,3376580000,0,0
2019-03-26,12598.45,12672.73,12578.87,12641.36,3266050000,0,0
2019-03-27,12635.25,12662.5,12520.2,12591.72,3372930000,0,0
2019-03-28,12601.21,12641.07,12555.83,12632.58,3158170000,0,0
2019-03-29,12691.77,12704.59,12644.48,12696.88,3740700000,0,0
2019-04-01,12775.84,12843.95,12773.53,12836.03,3500760000,0,0
2019-04-02,12840.44,12841.82,12784.71,12819.05,3246900000,0,0
2019-04-03,12819.06,12882.57,12803.87,12833.6,3550240000,0,0
2019-04-04,12833.32,12872.49,12818.83,12868.74,3015180000,0,0
2019-04-05,12889.37,12927.9,12880.19,12927.72,3146820000,0,0
2019-04-08,12927.73,12943.35,12888.87,12943.34,3054030000,0,0
2019-04-09,12892.05,12892.05,12834.45,12849.71,3007980000,0,0
2019-04-10,12867.34,12898.27,12852.88,12887.36,3062380000,0,0
2019-04-11,12892.62,12910.4,12856.24,12887.12,2938540000,0,0
2019-04-12,12955.66,12994.98,12938.05,12969.54,3688490000,0,0
2019-04-15,12979.27,12983.25,12936.5,12956.68,3088330000,0,0
2019-04-16,12986.3,13002.84,12934.25,12952.24,3402210000,0,0
2019-04-17,12984.33,12995.6,12891.44,12907.11,3602300000,0,0
2019-04-18,12912.18,12938.75,12869.85,12922.71,3506850000,0,0
2019-04-22,12900.41,12920.82,12886.8,12914.28,2997950000,0,0
2019-04-23,12916.67,13010.99,12910.78,12993.85,3635030000,0,0
2019-04-24,12993.86,12993.86,12938.55,12951.63,3448960000,0,0
2019-04-25,12907.08,12939.86,12850.12,12912.96,3425280000,0,0
2019-04-26,12923.66,12991.3,12910.88,12991.2,3248500000,0,0
2019-04-29,12992.73,13037.0,12990.75,13008.06,3118780000,0,0
2019-04-30,13027.51,13067.03,12968.95,13060.65,3919330000,0,0
2019-05-01,13066.08,13069.09,12944.94,12946.13,3645850000,0,0
2019-05-02,12939.04,12970.65,12860.61,12929.56,3778890000,0,0
2019-05-03,12977.32,13044.43,12977.32,13037.88,3338120000,0,0
2019-05-06,13037.88,13037.88,12851.07,12976.67,3181520000,0,0
2019-05-07,12883.06,12883.06,12703.19,12778.5,3767100000,0,0
2019-05-08,12766.97,12834.77,12748.37,12766.69,3485790000,0,0
2019-05-09,12673.62,12750.44,12591.79,12731.35,3638820000,0,0
2019-05-10,12702.07,12820.2,12569.84,12788.14,3529600000,0,0
2019-05-13,12617.22,12617.22,12480.27,12526.71,3894030000,0,0
2019-05-14,12560.99,12686.53,12559.62,12620.0,3322720000,0,0
2019-05-15,12559.66,12682.38,12526.04,12652.29,3125950000,0,0
2019-05-16,12676.05,12800.9,12676.05,12738.36,3338060000,0,0
2019-05-17,12652.39,12751.09,12643.07,12657.63,3257950000,0,0
2019-05-20,12615.67,12668.53,12582.51,12616.8,3288870000,0,0
2019-05-21,12668.33,12732.86,12668.33,12720.72,3218700000,0,0
2019-05-22,12682.52,12703.8,12651.95,12671.99,3192510000,0,0
2019-05-23,12569.34,12569.34,12461.35,12525.0,3891980000,0,0
2019-05-24,12595.54,12617.46,12539.3,12581.36,2887390000,0,0
2019-05-28,12597.71,12628.63,12464.53,12465.9,4121410000,0,0
2019-05-29,12398.24,12405.11,12309.13,12386.21,3700050000,0,0
